plot;ID;numberPlate;colorPlate;deviationNord;distanceCP;species;habitatTree;height_a;height_b;height_c;height_d;totalHeight;diameterAtBreast
1;1;08900;r;8;2,5;Stieleiche;0;1,6;0,7;0,7;16,4;18;1,63
1;2;00141;r;5;8,2;Hainbuche;0;1,6;0,7;0,7;12,2;13,8;0,7
1;3;00135;r;48;8,3;Hainbuche;0;1,6;0,7;0,7;15,9;17,5;0,76
1;4;00681;r;76;1,5;Hainbuche;0;1,6;0,7;0,7;16,3;17,9;0,73
1;5;00885;r;144;5,4;Hainbuche;0;1,6;0,7;0,7;9,5;11,1;0,85
1;6;00137;r;153;8,9;Rotbuche;0;1,6;0,7;0,7;16,5;18,1;0,76
1;7;00808;r;231;3,2;Rotbuche;1;1,6;0,7;0,7;19,3;20,9;1,26
1;8;00016;r;231;10,3;Rotbuche;0;1,6;0,7;0,7;12,2;13,8;0,68
1;9;00012;r;251;8,1;Rotbuche;0;1,6;0,7;0,7;13;14,6;0,55
1;10;00139;r;305;8,7;Hainbuche;0;1,6;0,7;0,7;10,2;11,8;0,76
1;11;00911;r;330;9;Stieleiche;0;1,6;0,7;0,7;21,4;23;1,71
1;12;00901;r;354;8,7;Rotbuche;0;1,6;0,7;0,7;8;9,6;0,49
2;1;00844;r;330;2,6;Rotbuche;0;1,7;0,8;1;29,5;38,575;1,86
2;2;00841;r;8;6,29;Rotbuche;0;1,7;0,8;1;19,6;26,2;0,65
2;3;00893;r;32;4,49;Rotbuche;0;1,7;0,8;1;17,8;23,95;0,65
2;4;00916;r;54;4;Hainbuche;0;1,7;0,8;1;14,3;19,575;0,39
2;5;00138;r;100;4,35;Traubeneiche;0;1,7;0,8;1;NA;23;1,35
2;6;00853;r;120;6,96;Hainbuche;0;1,7;0,8;1;NA;11;0,62
2;7;00182;r;180;7,55;Hainbuche;0;1,7;0,8;1;15,9;21,575;0,62
2;8;00904;r;118;8,01;Traubeneiche;0;1,7;0,8;1;NA;22;1,02
2;9;00183;r;208;7,81;Rotbuche;0;1,7;0,8;1;31,4;40,95;2,01
2;10;00184;r;236;5,95;Rotbuche;0;1,7;0,8;1;14,3;19,575;0,69
2;11;00185;r;270;4,64;Rotbuche;0;1,7;0,8;1;10,8;15,2;0,35
2;12;00186;r;300;9,93;Rotbuche;0;1,7;0,8;1;20,3;27,075;0,72
3;1;00193;r;107;9,39;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,34
3;2;00551;r;151;3,34;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,3
3;3;00554;r;161;5,5;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,26
3;4;00187;r;196;3,56;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,28
3;5;00189;r;196;8,4;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,35
3;6;00191;r;240;8,8;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,27
3;7;00192;r;246;8,9;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,33
3;8;00195;r;260;9,2;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,32
3;9;00196;r;255;7,5;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,28
3;10;00190;r;255;5,7;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,32
3;11;00198;r;295;8;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,37
3;12;00199;r;310;9,31;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,34
3;13;00553;r;0;5,23;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,25
3;14;00194;r;10;4,78;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,27
3;15;00552;r;5;3,98;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,23
3;16;00548;r;40;1,4;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,27
3;17;00547;r;130;2;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,25
3;18;00692;r;208;1,5;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,24
3;19;00550;r;184;3,1;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,29
3;20;00188;r;180;6,94;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,24
3;21;00800;r;115;2,32;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,25
3;22;00933;r;113;5,26;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,3
3;23;00934;r;99;8,8;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,26
3;24;00935;r;350;7,49;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,24
3;25;00936;r;340;8,26;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,24
3;26;00937;r;340;9,46;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,31
3;27;00938;r;300;7,5;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,27
3;28;00939;r;285;9,8;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,26
3;29;00940;r;275;9,6;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,24
3;30;00941;r;270;7,8;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,25
3;31;00549;r;259;3,8;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,22
3;32;00693;r;280;1,9;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,28
3;33;00942;r;216;4,8;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,27
3;34;00943;r;231;6,4;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,27
3;35;00944;r;213;6,8;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,25
3;36;00945;r;137;9,54;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,26
3;37;00197;r;295;6,54;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,25
4;1;00947;b;60;7,4;Rotbuche;0;1,6;0,8;1,67;18,5;40,21875;1,93
4;2;00946;b;120;2,3;Rotbuche;0;1,6;0,8;1,67;12,5;27,69375;2,04
4;3;00788;r;240;3,5;Rotbuche;0;1,6;0,8;1,67;12,1;26,85875;1,64
5;1;00115;r;5;3,3;Rotbuche;0;1,6;0,8;1,2;3,6;7;0,3
5;2;00116;r;10;2,64;Rotbuche;0;1,6;0,8;1,2;9,2;15,4;0,62
5;3;00117;r;126;6;Rotbuche;0;1,6;0,8;1,2;12,7;20,65;0,92
5;4;00118;r;340;6,4;Rotbuche;0;1,6;0,8;1,2;17,4;27,7;1,38
6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
